energy,data,uncert
40.3,6.16,0.27
40.4,6.14,0.27
40.5,6.12,0.26
40.6,6.1,0.26
40.7,6.09,0.26
40.8,6.07,0.26
40.9,6.05,0.26
41,6.04,0.26
41.1,6.02,0.26
41.2,6,0.26
41.3,5.99,0.26
41.4,5.97,0.26
41.5,5.96,0.26
41.6,5.94,0.26
41.7,5.92,0.26
41.8,5.91,0.26
41.9,5.89,0.25
42,5.88,0.25
42.1,5.86,0.25
42.2,5.85,0.25
42.3,5.83,0.25
42.4,5.81,0.25
42.5,5.8,0.25
42.6,5.78,0.25
42.7,5.77,0.25
42.8,5.75,0.25
42.9,5.74,0.25
43,5.72,0.25
43.1,5.71,0.25
43.2,5.69,0.25
43.3,5.68,0.25
43.4,5.66,0.24
43.5,5.65,0.24
43.6,5.63,0.24
43.7,5.62,0.24
43.8,5.6,0.24
43.9,5.59,0.24
44,5.58,0.24
44.1,5.56,0.24
44.2,5.55,0.24
44.3,5.53,0.24
44.4,5.52,0.24
44.5,5.5,0.24
44.6,5.49,0.24
44.7,5.48,0.24
44.8,5.46,0.24
44.9,5.45,0.24
45,5.44,0.23
45.1,5.42,0.23
45.2,5.41,0.23
45.3,5.39,0.23
45.4,5.38,0.23
45.5,5.37,0.23
45.6,5.35,0.23
45.7,5.34,0.23
45.8,5.33,0.23
45.9,5.31,0.23
46,5.3,0.23
46.1,5.29,0.23
46.2,5.28,0.23
46.3,5.26,0.23
46.4,5.25,0.23
46.5,5.24,0.23
46.6,5.22,0.23
46.7,5.21,0.23
46.8,5.2,0.22
46.9,5.19,0.22
47,5.17,0.22
47.1,5.16,0.22
47.2,5.15,0.22
47.3,5.14,0.22
47.4,5.12,0.22
47.5,5.11,0.22
47.6,5.1,0.22
47.7,5.09,0.22
47.8,5.08,0.22
47.9,5.06,0.22
48,5.05,0.22
48.1,5.04,0.22
48.2,5.03,0.22
48.3,5.02,0.22
48.4,5,0.22
48.5,4.99,0.22
48.6,4.98,0.22
48.7,4.97,0.21
48.8,4.96,0.21
48.9,4.95,0.21
49,4.93,0.21
49.1,4.92,0.21
49.2,4.91,0.21
49.3,4.9,0.21
49.4,4.89,0.21
49.5,4.88,0.21
49.6,4.87,0.21
49.7,4.85,0.21
49.8,4.84,0.21
49.9,4.83,0.21
50,4.82,0.21
50.1,4.81,0.21
50.2,4.8,0.21
50.3,4.79,0.21
50.4,4.78,0.21
50.5,4.77,0.21
50.6,4.76,0.21
50.7,4.75,0.21
50.8,4.73,0.21
50.9,4.72,0.2
51,4.71,0.2
51.1,4.7,0.2
51.2,4.69,0.2
51.3,4.68,0.2
51.4,4.67,0.2
51.5,4.66,0.2
51.6,4.65,0.2
51.7,4.64,0.2
51.8,4.63,0.2
51.9,4.62,0.2
52,4.61,0.2
52.1,4.6,0.2
52.2,4.59,0.2
52.3,4.58,0.2
52.4,4.57,0.2
52.5,4.56,0.2
52.6,4.55,0.2
52.7,4.54,0.2
52.8,4.53,0.2
52.9,4.52,0.2
53,4.51,0.2
53.1,4.5,0.19
53.2,4.49,0.19
53.3,4.48,0.19
53.4,4.47,0.19
53.5,4.46,0.19
53.6,4.45,0.19
53.7,4.44,0.19
53.8,4.43,0.19
53.9,4.42,0.19
54,4.42,0.19
54.1,4.41,0.19
54.2,4.4,0.19
54.3,4.39,0.19
54.4,4.38,0.19
54.5,4.37,0.19
54.6,4.36,0.19
54.7,4.35,0.19
54.8,4.34,0.19
54.9,4.33,0.19
55,4.32,0.19
55.1,4.31,0.19
55.2,4.31,0.19
55.3,4.3,0.19
55.4,4.29,0.19
55.5,4.28,0.19
55.6,4.27,0.18
55.7,4.26,0.18
55.8,4.25,0.18
55.9,4.24,0.18
56,4.24,0.18
56.1,4.23,0.18
56.2,4.22,0.18
56.3,4.21,0.18
56.4,4.2,0.18
56.5,4.19,0.18
56.6,4.18,0.18
56.7,4.18,0.18
56.8,4.17,0.18
56.9,4.16,0.18
57,4.15,0.18
57.1,4.14,0.18
57.2,4.13,0.18
57.3,4.13,0.18
57.4,4.12,0.18
57.5,4.11,0.18
57.6,4.1,0.18
57.7,4.09,0.18
57.8,4.09,0.18
57.9,4.08,0.18
58,4.07,0.18
58.1,4.06,0.18
58.2,4.05,0.18
58.3,4.05,0.18
58.4,4.04,0.17
58.5,4.03,0.17
58.6,4.02,0.17
58.7,4.01,0.17
58.8,4.01,0.17
58.9,4,0.17
59,3.99,0.17
59.1,3.98,0.17
59.2,3.97,0.17
59.3,3.97,0.17
59.4,3.96,0.17
59.5,3.95,0.17
59.6,3.94,0.17
59.7,3.94,0.17
59.8,3.93,0.17
59.9,3.92,0.17
60,3.91,0.17
60.1,3.91,0.17
60.2,3.9,0.17
60.3,3.89,0.17
60.4,3.88,0.17
60.5,3.88,0.17
60.6,3.87,0.17
60.7,3.86,0.17
60.8,3.86,0.17
60.9,3.85,0.17
61,3.84,0.17
61.1,3.83,0.17
61.2,3.83,0.17
61.3,3.82,0.17
61.4,3.81,0.17
61.5,3.81,0.17
61.6,3.8,0.16
61.7,3.79,0.16
61.8,3.78,0.16
61.9,3.78,0.16
62,3.77,0.16
62.1,3.76,0.16
62.2,3.76,0.16
62.3,3.75,0.16
62.4,3.74,0.16
62.5,3.74,0.16
62.6,3.73,0.16
62.7,3.72,0.16
62.8,3.72,0.16
62.9,3.71,0.16
63,3.7,0.16
63.1,3.7,0.16
63.2,3.69,0.16
63.3,3.68,0.16
63.4,3.68,0.16
63.5,3.67,0.16
63.6,3.66,0.16
63.7,3.66,0.16
63.8,3.65,0.16
63.9,3.64,0.16
64,3.64,0.16
64.1,3.63,0.16
64.2,3.62,0.16
64.3,3.62,0.16
64.4,3.61,0.16
64.5,3.6,0.16
64.6,3.6,0.16
64.7,3.59,0.16
64.8,3.59,0.16
64.9,3.58,0.16
65,3.57,0.16
65.1,3.57,0.15
65.2,3.56,0.15
65.3,3.55,0.15
65.4,3.55,0.15
65.5,3.54,0.15
65.6,3.54,0.15
65.7,3.53,0.15
65.8,3.52,0.15
65.9,3.52,0.15
66,3.51,0.15
66.1,3.51,0.15
66.2,3.5,0.15
66.3,3.49,0.15
66.4,3.49,0.15
66.5,3.48,0.15
66.6,3.48,0.15
66.7,3.47,0.15
66.8,3.46,0.15
66.9,3.46,0.15
67,3.45,0.15
67.1,3.45,0.15
67.2,3.44,0.15
67.3,3.43,0.15
67.4,3.43,0.15
67.5,3.42,0.15
67.6,3.42,0.15
67.7,3.41,0.15
67.8,3.41,0.15
67.9,3.4,0.15
68,3.39,0.15
68.1,3.39,0.15
68.2,3.38,0.15
68.3,3.38,0.15
68.4,3.37,0.15
68.5,3.37,0.15
68.6,3.36,0.15
68.7,3.36,0.15
68.8,3.35,0.15
68.9,3.34,0.15
69,3.34,0.14
69.1,3.33,0.14
69.2,3.33,0.14
69.3,3.32,0.14
69.4,3.32,0.14
69.5,3.31,0.14
69.6,3.31,0.14
69.7,3.3,0.14
69.8,3.3,0.14
69.9,3.29,0.14
70,3.28,0.14
70.1,3.28,0.14
70.2,3.27,0.14
70.3,3.27,0.14
70.4,3.26,0.14
70.5,3.26,0.14
70.6,3.25,0.14
70.7,3.25,0.14
70.8,3.24,0.14
70.9,3.24,0.14
71,3.23,0.14
71.1,3.23,0.14
71.2,3.22,0.14
71.3,3.22,0.14
71.4,3.21,0.14
71.5,3.21,0.14
71.6,3.2,0.14
71.7,3.2,0.14
71.8,3.19,0.14
71.9,3.19,0.14
72,3.18,0.14
72.1,3.18,0.14
72.2,3.17,0.14
72.3,3.17,0.14
72.4,3.16,0.14
72.5,3.16,0.14
72.6,3.15,0.14
72.7,3.15,0.14
72.8,3.14,0.14
72.9,3.14,0.14
73,3.13,0.14
73.1,3.13,0.14
73.2,3.12,0.14
73.3,3.12,0.14
73.4,3.11,0.14
73.5,3.11,0.13
73.6,3.1,0.13
73.7,3.1,0.13
73.8,3.09,0.13
73.9,3.09,0.13
74,3.08,0.13
74.1,3.08,0.13
74.2,3.07,0.13
74.3,3.07,0.13
74.4,3.07,0.13
74.5,3.06,0.13
74.6,3.06,0.13
74.7,3.05,0.13
74.8,3.05,0.13
74.9,3.04,0.13
75,3.04,0.13
75.1,3.03,0.13
75.2,3.03,0.13
75.3,3.02,0.13
75.4,3.02,0.13
75.5,3.01,0.13
75.6,3.01,0.13
75.7,3.01,0.13
75.8,3,0.13
75.9,3,0.13
76,2.99,0.13
76.1,2.99,0.13
76.2,2.98,0.13
76.3,2.98,0.13
76.4,2.97,0.13
76.5,2.97,0.13
76.6,2.97,0.13
76.7,2.96,0.13
76.8,2.96,0.13
76.9,2.95,0.13
77,2.95,0.13
77.1,2.94,0.13
77.2,2.94,0.13
77.3,2.94,0.13
77.4,2.93,0.13
77.5,2.93,0.13
77.6,2.92,0.13
77.7,2.92,0.13
77.8,2.91,0.13
77.9,2.91,0.13
78,2.91,0.13
78.1,2.9,0.13
78.2,2.9,0.13
78.3,2.89,0.13
78.4,2.89,0.13
78.5,2.89,0.13
78.6,2.88,0.13
78.7,2.88,0.12
78.8,2.87,0.12
78.9,2.87,0.12
79,2.86,0.12
79.1,2.86,0.12
79.2,2.86,0.12
79.3,2.85,0.12
79.4,2.85,0.12
79.5,2.84,0.12
79.6,2.84,0.12
79.7,2.84,0.12
79.8,2.83,0.12
79.9,2.83,0.12
80,2.82,0.12
80.1,2.82,0.12
80.2,2.82,0.12
80.3,2.81,0.12
80.4,2.81,0.12
80.5,2.8,0.12
80.6,2.8,0.12
80.7,2.8,0.12
80.8,2.79,0.12
80.9,2.79,0.12
81,2.79,0.12
81.1,2.78,0.12
81.2,2.78,0.12
81.3,2.77,0.12
81.4,2.77,0.12
81.5,2.77,0.12
81.6,2.76,0.12
81.7,2.76,0.12
81.8,2.75,0.12
81.9,2.75,0.12
82,2.75,0.12
82.1,2.74,0.12
82.2,2.74,0.12
82.3,2.74,0.12
82.4,2.73,0.12
82.5,2.73,0.12
82.6,2.72,0.12
82.7,2.72,0.12
82.8,2.72,0.12
82.9,2.71,0.12
83,2.71,0.12
83.1,2.71,0.12
83.2,2.7,0.12
83.3,2.7,0.12
83.4,2.69,0.12
83.5,2.69,0.12
83.6,2.69,0.12
83.7,2.68,0.12
83.8,2.68,0.12
83.9,2.68,0.12
84,2.67,0.12
84.1,2.67,0.12
84.2,2.67,0.12
84.3,2.66,0.12
84.4,2.66,0.12
84.5,2.66,0.12
84.6,2.65,0.12
84.7,2.65,0.12
84.8,2.64,0.12
84.9,2.64,0.12
85,2.64,0.12
85.1,2.63,0.11
85.2,2.63,0.11
85.3,2.63,0.11
85.4,2.62,0.11
85.5,2.62,0.11
85.6,2.62,0.11
85.7,2.61,0.11
85.8,2.61,0.11
85.9,2.61,0.11
86,2.6,0.11
86.1,2.6,0.11
86.2,2.6,0.11
86.3,2.59,0.11
86.4,2.59,0.11
86.5,2.59,0.11
86.6,2.58,0.11
86.7,2.58,0.11
86.8,2.58,0.11
86.9,2.57,0.11
87,2.57,0.11
87.1,2.57,0.11
87.2,2.56,0.11
87.3,2.56,0.11
